"Market Name","Date","Sales","Dollar Volume","Average Price","Median Price","Active Listings EOM","Months Inventory"
"Texas","2007-07-01","28516","5591474312","196082","150659","155222","6.17"
"Texas","2007-06-01","29714","6009418788","202242","153398","150515","5.98"
"Texas","2007-05-01","29497","5761295046","195318","147725","148583","5.84"
"Texas","2007-04-01","25294","4833835164","191106","144986","142471","5.59"
"Texas","2007-03-01","26279","4933041322","187718","143323","135376","5.32"
"Texas","2007-02-01","20448","3694319712","180669","139508","128304","5.03"
"Texas","2007-01-01","17379","3052308528","175632","136964","125189","4.91"
"Texas","2006-12-01","23641","4417628183","186863","144399","121879","4.8"
"Texas","2006-11-01","22099","3996449457","180843","140975","129512","5.12"
"Texas","2006-10-01","23805","4222197630","177366","138823","133407","5.31"
"Texas","2006-09-01","24994","4461304030","178495","139899","134941","5.41"
"Texas","2006-08-01","30402","5646259440","185720","144594","134124","5.41"
"Texas","2006-07-01","28724","5419270908","188667","146746","134230","5.45"
"Texas","2006-06-01","32739","6304451013","192567","148311","129399","5.28"
"Texas","2006-05-01","29903","5607649784","187528","144496","127023","5.25"
"Texas","2006-04-01","24666","4400069076","178386","139214","125396","5.24"
"Texas","2006-03-01","27413","4862956548","177396","137942","121517","5.09"
"Texas","2006-02-01","20100","3505279200","174392","136182","116693","4.96"
"Texas","2006-01-01","16276","2760718844","169619","133736","116763","5.01"
"Texas","2005-12-01","22127","3987440289","180207","140877","110796","4.79"
"Texas","2005-11-01","20491","3638853253","177583","139508","116757","5.07"
"Texas","2005-10-01","21672","3766810320","173810","136280","120730","5.28"
"Texas","2005-09-01","23126","4026722246","174121","138138","122221","5.39"
"Texas","2005-08-01","28512","5006507616","175593","138138","125288","5.58"
"Texas","2005-07-01","27221","4826473847","177307","139018","129298","5.84"
"Texas","2005-06-01","28849","5160595667","178883","138823","127247","5.8"
"Texas","2005-05-01","26732","4641263304","173622","135399","132336","6.1"
"Texas","2005-04-01","23849","4004914872","167928","131486","130306","6.09"
"Texas","2005-03-01","23361","3892947123","166643","130802","129495","6.09"
"Texas","2005-02-01","17355","2824560960","162752","129628","127061","6.02"
"Texas","2005-01-01","14354","2256879420","157230","124639","124117","5.92"
"Texas","2004-12-01","20979","3498479019","166761","131095","115906","5.55"
"Texas","2004-11-01","18376","2955044560","160810","127573","120468","5.82"
"Texas","2004-10-01","19511","3128647383","160353","127378","126536","6.2"
"Texas","2004-09-01","20515","3338672645","162743","128943","126423","6.21"
"Texas","2004-08-01","24381","4027375485","165185","130704","128041","6.31"
"Texas","2004-07-01","25011","4150725516","165956","131878","129361","6.41"
"Texas","2004-06-01","26022","4486921416","172428","134714","127678","6.39"
"Texas","2004-05-01","23145","3849059790","166302","130899","128193","6.53"
"Texas","2004-04-01","22312","3609657672","161781","127476","125127","6.43"
"Texas","2004-03-01","21131","3339796812","158052","125030","122160","6.39"
"Texas","2004-02-01","15973","2482922985","155445","123954","119949","6.36"
"Texas","2004-01-01","13024","1944079456","149269","119650","117549","6.28"
"Texas","2003-12-01","18857","3102674209","164537","128552","111587","5.97"
"Texas","2003-11-01","14972","2382164976","159108","124052","113784","6.14"
"Texas","2003-10-01","18779","2927815111","155909","122878","117120","6.34"
"Texas","2003-09-01","19921","3139131259","157579","126204","120151","6.56"
"Texas","2003-08-01","22971","3697067595","160945","130899","119718","6.64"
"Texas","2003-07-01","22754","3767083978","165557","132562","119878","6.74"
"Texas","2003-06-01","21878","3593964694","164273","132856","119336","6.79"
"Texas","2003-05-01","20872","3295480080","157890","126693","116555","6.69"
"Texas","2003-04-01","18228","2812726224","154308","125226","113782","6.53"
"Texas","2003-03-01","18059","2765573319","153141","124052","110931","6.35"
"Texas","2003-02-01","14204","2128980744","149886","123172","107102","6.16"
"Texas","2003-01-01","12720","1862653200","146435","120237","107171","6.14"
"Texas","2002-12-01","16860","2703669600","160360","127671","100739","5.77"
